num;NAME;Gl;Gb;RAJD;DECJD;P0;DM;S1400;R_LUM14;
num;;(deg);(deg);(deg);(deg);(s);(cm^-3pc);(mJy);(mJykpc^2);
1051;J1630+3734;60.245;43.215;247.651946;37.578360;0.003318;14.18;*;*;
1052;J1630-4719;336.497;0.787;247.510292;-47.328333;0.559071;489.60;0.46;1.36e+01;
1053;B1626-47;336.403;0.562;247.656125;-47.551389;0.575971;498.00;9.90;2.48e+02;
1054;J1631-1612;0.577;21.193;247.968625;-16.214444;0.677684;33.77;*;*;
1055;J1631-4155;340.596;4.332;247.826375;-41.917694;0.551241;235.00;0.19;2.22e+01;
1056;J1632-1013;5.910;24.636;248.225833;-10.221667;0.717637;89.90;0.15;1.58e+01;
1057;J1632-4509;338.343;2.002;248.058333;-45.152500;1.046810;412.00;0.16;2.12e+01;
1058;J1632-4621;337.527;1.100;248.207554;-46.363500;1.709154;562.90;0.80;8.16e+01;
1059;J1632-4757;336.296;0.080;248.069667;-47.959528;0.228564;574.20;0.51;1.19e+01;
1060;J1632-4818;336.080;-0.209;248.165583;-48.314611;0.813453;758.00;0.48;1.35e+01;
1061;J1633-2009;357.631;18.331;248.480417;-20.169167;0.935557;48.19;*;*;
1062;B1630-44;338.725;1.982;248.446033;-44.885500;0.436507;474.10;2.60;5.80e+02;
1063;J1633-4805;336.290;-0.110;248.272500;-48.093333;0.710830;1120.00;0.23;8.76e+00;
1064;B1629-50;334.698;-1.569;248.250346;-50.252333;0.352145;398.41;7.60;2.74e+02;
1065;J1634-49;335.145;-1.484;248.625000;-49.866667;0.684936;649.00;0.13;1.79e+01;
1066;J1634-5107;334.171;-2.290;248.520792;-51.129333;0.507356;372.80;0.05;2.60e+00;
1067;J1634-5640;330.090;-6.066;248.579875;-56.680194;0.224201;148.00;0.30;8.94e+00;
1068;J1635-1511;2.058;21.078;248.947333;-15.197778;1.179387;54.00;0.50;1.05e+00;
1069;J1635+23;41.970;39.738;248.775000;23.516667;1.208700;37.60;*;*;
1070;B1633+24;42.993;39.889;248.857424;24.313144;0.490507;24.27;0.40;2.36e+00;
1071;J1635-4513;338.731;1.475;248.980833;-45.224167;1.594746;416.00;0.25;1.50e+01;
1072;J1635-4735;336.976;-0.111;248.966017;-47.589808;2.594578;*;*;*;
1073;J1635-4944;335.391;-1.570;248.980833;-49.743333;0.671964;474.00;0.40;2.17e+01;
1074;B1630-59;327.747;-8.313;248.787833;-59.911389;0.529121;134.90;1.80;9.36e+01;
1075;J1636-2614;353.120;14.036;249.047942;-26.246389;0.510454;94.00;0.19;1.27e+01;
1076;J1636-4440;339.180;1.799;249.068875;-44.673611;0.206649;449.00;0.29;4.50e+01;
1077;J1636-4803;336.700;-0.515;249.133333;-48.065278;1.204644;503.00;1.10;2.49e+01;
1078;J1636-4933;335.641;-1.561;249.229792;-49.552778;0.430367;542.70;0.45;4.71e+01;
1079;J1637-4335;340.182;2.300;249.486667;-43.595000;0.771367;608.00;0.18;1.12e+02;
1080;J1637-4450;339.248;1.475;249.471458;-44.840639;0.252870;470.70;0.40;5.22e+01;
1081;B1634-45;338.478;0.761;249.494625;-45.890917;0.118771;193.23;1.50;1.78e+01;
1082;J1637-46;338.192;0.592;249.400000;-46.216667;0.493091;660.40;0.70;2.31e+01;
1083;J1637-4642;337.788;0.312;249.307375;-46.704167;0.154027;419.10;0.93;1.81e+01;
1084;J1637-4721;337.304;-0.117;249.297500;-47.350833;1.165741;448.00;0.42;8.21e+00;
1085;J1637-4816;336.710;-0.831;249.494500;-48.270000;0.837365;738.00;0.74;4.01e+01;
1086;J1638-3815;344.264;5.764;249.655621;-38.250944;0.698261;238.00;0.67;2.44e+02;
1087;J1638-3951;343.005;4.744;249.564833;-39.866389;0.771130;249.00;0.21;4.53e+01;
1088;J1638+40;63.759;41.764;249.700000;40.083333;0.767700;33.35;*;*;
1089;J1638-4233;341.007;2.924;249.602958;-42.565278;0.510929;406.00;0.35;1.72e+02;
1090;J1638-4344;340.191;2.081;249.720333;-43.734444;1.121944;237.00;0.17;3.82e+00;
1091;J1638-44;339.427;1.537;249.575000;-44.666667;0.568057;494.00;0.15;2.33e+01;
1092;J1638-4417;339.768;1.730;249.692587;-44.284333;0.117802;436.40;0.30;4.34e+01;
1093;J1638-4608;338.343;0.544;249.595750;-46.136556;0.278137;423.10;0.45;9.40e+00;
1094;J1638-4725;337.364;-0.296;249.553917;-47.425556;0.763933;552.10;0.32;7.19e+00;
1095;J1638-5226;333.702;-3.739;249.749833;-52.449278;0.340503;170.10;0.60;1.07e+01;
1096;J1639-4359;340.023;1.875;249.778542;-43.997778;0.587559;258.90;0.92;2.20e+01;
1097;B1635-45;338.500;0.459;249.838337;-46.075861;0.264558;258.91;1.00;1.44e+01;
1098;J1640+2224;41.051;38.271;250.069771;22.402451;0.003163;18.46;2.00;4.59e+00;
1099;J1640-4631;338.320;-0.017;250.181333;-46.526500;0.206443;*;*;*;
1100;J1640-4648;338.114;-0.215;250.198417;-46.812500;0.178352;474.00;0.26;5.20e+00;
1101;B1636-47;337.714;-0.439;250.054958;-47.259806;0.517405;586.32;1.56;3.76e+01;
1102;J1640-4951;335.829;-2.218;250.181500;-49.850583;0.739099;411.40;0.15;1.47e+01;
1103;J1641-2347;355.831;14.714;250.325167;-23.793333;1.091008;27.70;1.90;1.61e+00;
1104;B1639+36A;59.000;40.914;250.420333;36.454289;0.010378;30.36;0.14;5.92e+00;
1105;B1639+36B;59.008;40.914;250.420833;36.460278;0.003528;29.50;0.02;9.29e-01;
1106;J1641+3627C;59.008;40.914;250.420833;36.460278;0.003722;30.10;0.03;1.27e+00;
